,Unnamed: 0,TARGET,성별,차량 소유 여부,부동산 소유 여부,연간 수입,수입 유형,최종 학력,결혼 여부,주거 형태,거주지 인구 비율,업무용 휴대전화 소유 여부,직업,가족 구성원 수,나이,근속연수,가입연수,자녀수_구간,산업군_상위
0,52906,0,남성,1,1,42480000.0,근로자,고등학교 졸업,별거,주택 / 아파트,0.006629,1,운전자,2.0,28,7,4.0,1,산업
1,8632,0,남성,1,0,42480000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.0072739999999999,1,보안 업계 종사자,2.0,54,4,21.0,0,사업
2,48776,1,여성,0,1,53100000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.0145199999999999,1,영업직,2.0,43,1,24.0,0,자영업
3,7568,0,여성,0,1,37170000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.00702,1,미화원,2.0,27,6,1.0,0,보험
4,36773,0,여성,0,1,39294000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.01885,0,Unknown,2.0,60,1000,39.0,0,기타
5,46767,1,여성,0,1,37170000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.016612,1,단순 노동자,2.0,33,1,6.0,0,학교
6,34378,0,여성,0,0,21240000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.00823,1,영업직,4.0,40,1,17.0,2,사업
7,29694,0,여성,0,1,25488000.0,연금수령자,고등학교 졸업,미혼,주택 / 아파트,0.00733,0,Unknown,1.0,67,1000,22.0,0,기타
8,9093,0,여성,1,1,26550000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.010276,0,Unknown,2.0,53,1000,8.0,0,기타
9,49512,0,여성,0,0,33984000.0,근로자,고등학교 졸업,미혼,주택 / 아파트,0.04622,1,Unknown,1.0,43,9,27.0,0,산업
10,38996,1,남성,1,1,47790000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.031329,0,Unknown,2.0,63,1000,1.0,0,기타
11,58002,0,여성,0,1,15930000.0,공무원,고등학교 졸업,사실혼,주택 / 아파트,0.01885,1,단순 노동자,2.0,39,8,23.0,0,우체부
12,39175,0,여성,0,1,18054000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.009549,1,영업직,2.0,43,2,4.0,0,자영업
13,32590,1,여성,0,1,47790000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.018801,1,영업직,4.0,35,1,10.0,2,산업
14,32710,0,여성,1,1,63720000.0,공무원,고등학교 졸업,기혼,공공분양,0.006233,1,핵심 노동자,2.0,51,0,14.0,0,군대
15,59331,0,여성,0,1,42480000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.011703,1,기술직,2.0,51,2,27.0,0,기타
16,8865,0,여성,0,1,31860000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.028663,1,Unknown,3.0,34,9,5.0,1,기타
17,4157,0,남성,1,0,42480000.0,근로자,고등학교 졸업,미혼,주택 / 아파트,0.031329,1,운전자,3.0,35,4,2.0,2,자영업
18,38145,0,남성,1,0,29736000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.014464,1,단순 노동자,3.0,43,6,2.0,1,사업
19,56830,0,남성,1,1,63720000.0,근로자,대학교 졸업 이상,별거,아파트 임대,0.0145199999999999,1,관리직,1.0,46,8,5.0,0,사업
20,44823,0,여성,0,1,84960000.0,기타,저학력자,별거,주택 / 아파트,0.010643,1,기술직,1.0,59,34,34.0,0,사업
21,54636,0,여성,0,0,15930000.0,연금수령자,고등학교 졸업,사별,주택 / 아파트,0.008625,0,Unknown,1.0,66,1000,40.0,0,기타
22,51362,0,여성,0,1,31860000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.007114,1,Unknown,2.0,58,4,19.0,0,의학
23,17532,0,남성,1,1,53100000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.0116569999999999,1,운전자,2.0,49,4,9.0,0,주택
24,10926,0,남성,0,1,31860000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.0228,1,단순 노동자,2.0,23,5,9.0,0,사업
25,24455,0,여성,0,1,53100000.0,기타,고등학교 졸업,사별,주택 / 아파트,0.02461,1,관리직,1.0,55,7,27.0,0,건설
26,43580,0,여성,1,0,21240000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.010276,1,영업직,2.0,41,2,23.0,0,사업
27,57484,0,여성,0,1,31860000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.015221,1,단순 노동자,2.0,46,12,3.0,0,사업
28,55250,0,남성,1,1,74340000.0,연금수령자,대학교 졸업 이상,사실혼,주택 / 아파트,0.030755,0,Unknown,2.0,64,1000,2.0,0,기타
29,34604,0,남성,1,1,84960000.0,기타,고등학교 졸업,기혼,공공분양,0.04622,1,영업직,3.0,32,4,5.0,1,자영업
30,59924,0,여성,0,0,26550000.0,근로자,대학교 중퇴,기혼,아파트 임대,0.018209,1,기술직,3.0,24,3,10.0,1,사업
31,21595,0,여성,1,1,42480000.0,근로자,대학교 중퇴,기혼,주택 / 아파트,0.035792,1,Unknown,2.0,32,5,15.0,0,기타
32,22397,0,남성,1,0,37170000.0,기타,대학교 졸업 이상,기혼,주택 / 아파트,0.006207,1,관리직,4.0,32,0,6.0,2,사업
33,33778,1,남성,1,0,56286000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.031329,1,단순 노동자,2.0,29,9,14.0,0,운송
34,53830,1,남성,0,1,42480000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.018634,1,단순 노동자,2.0,39,0,3.0,0,건설
35,7881,1,여성,0,1,55224000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.025164,1,회계사,2.0,53,5,10.0,0,사업
36,15532,0,여성,1,0,31860000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.009175,1,단순 노동자,2.0,45,1,28.0,0,산업
37,9199,0,여성,0,0,31860000.0,기타,고등학교 졸업,미혼,오피스텔,0.025164,1,의료 업계 종사자,1.0,53,28,15.0,0,의학
38,45762,0,여성,0,1,42480000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.031329,1,핵심 노동자,3.0,34,0,18.0,1,자영업
39,41315,0,여성,0,1,37170000.0,근로자,고등학교 졸업,사별,주택 / 아파트,0.007114,1,의료 업계 종사자,2.0,39,11,13.0,1,의학
40,45076,0,남성,0,1,58410000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.00733,1,기술직,2.0,52,2,2.0,0,사업
41,13960,0,여성,0,0,41418000.0,기타,고등학교 졸업,별거,주택 / 아파트,0.04622,1,기술직,2.0,31,1,0.0,1,건설
42,4448,0,여성,0,1,26550000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.0145199999999999,0,Unknown,2.0,61,1000,32.0,0,기타
43,31154,0,남성,1,1,21240000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.025164,1,운전자,2.0,42,4,11.0,0,자영업
44,30295,0,여성,0,1,26550000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.026392,1,영업직,2.0,52,3,36.0,0,무역
45,9398,0,남성,1,1,84960000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.010006,1,단순 노동자,3.0,38,18,3.0,1,산업
46,13905,1,여성,0,1,30798000.0,근로자,고등학교 졸업,미혼,주택 / 아파트,0.007305,1,Unknown,1.0,57,5,0.0,0,의학
47,17026,0,남성,0,1,26550000.0,근로자,고등학교 졸업,미혼,주택 / 아파트,0.022625,1,단순 노동자,1.0,36,1,15.0,0,사업
48,4021,0,여성,1,1,69030000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.010556,1,관리직,2.0,50,18,30.0,0,유치원
49,22862,0,여성,0,1,26550000.0,근로자,고등학교 졸업,미혼,주택 / 아파트,0.026392,1,단순 노동자,2.0,37,2,1.0,1,건설
50,51734,1,남성,0,1,42480000.0,공무원,고등학교 졸업,별거,공공분양,0.022625,1,단순 노동자,1.0,48,5,23.0,0,기타
51,40791,0,여성,0,1,53100000.0,기타,대학교 졸업 이상,기혼,주택 / 아파트,0.016612,1,단순 노동자,2.0,52,9,18.0,0,사업
52,34004,0,여성,0,1,13806000.0,공무원,대학교 졸업 이상,기혼,주택 / 아파트,0.002134,1,핵심 노동자,4.0,39,7,11.0,2,유치원
53,58391,0,남성,1,1,42480000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.00733,1,Unknown,2.0,36,2,4.0,0,운송
54,52008,0,남성,0,1,106200000.0,기타,대학교 졸업 이상,기혼,주택 / 아파트,0.032561,1,관리직,2.0,30,2,14.0,0,사업
55,7497,0,여성,1,1,47790000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.025164,1,영업직,2.0,39,0,0.0,0,자영업
56,15520,0,남성,1,1,31860000.0,기타,고등학교 졸업,별거,주택 / 아파트,0.035792,1,운전자,1.0,44,6,23.0,0,사업
57,40575,0,여성,0,0,89951400.0,연금수령자,고등학교 졸업,기혼,공공분양,0.072508,0,Unknown,2.0,57,1000,3.0,0,기타
58,51781,0,여성,0,1,23364000.0,기타,대학교 졸업 이상,기혼,주택 / 아파트,0.035792,1,기술직,3.0,29,5,14.0,1,사업
59,56696,1,여성,0,0,47790000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.0228,1,조리사,3.0,25,1,10.0,1,사업
60,431,0,여성,1,0,42480000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.010966,1,Unknown,2.0,51,22,1.0,0,산업
61,48296,1,여성,0,0,24426000.0,근로자,고등학교 졸업,미혼,주택 / 아파트,0.008068,1,Unknown,1.0,33,3,8.0,0,정부
62,11661,0,여성,0,1,42480000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.011703,0,Unknown,2.0,60,1000,5.0,0,기타
63,2247,0,여성,0,1,116820000.0,기타,대학교 졸업 이상,기혼,주택 / 아파트,0.026392,1,관리직,2.0,44,21,1.0,0,대학교
64,23934,0,남성,0,0,53100000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.014464,1,기술직,3.0,28,5,11.0,1,사업
65,37725,0,여성,0,1,16992000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.031329,0,Unknown,2.0,57,1000,39.0,0,기타
66,19599,0,여성,0,1,31860000.0,근로자,고등학교 졸업,사별,주택 / 아파트,0.010032,1,단순 노동자,1.0,53,3,15.0,0,사업
67,59428,0,여성,1,1,29736000.0,기타,대학교 졸업 이상,기혼,주택 / 아파트,0.010643,1,회계사,4.0,37,3,1.0,2,사업
68,37673,0,여성,0,0,15930000.0,근로자,고등학교 졸업,사실혼,아파트 임대,0.020246,1,영업직,3.0,36,0,15.0,1,자영업
69,14865,0,여성,0,1,31860000.0,연금수령자,고등학교 졸업,미혼,주택 / 아파트,0.0060079999999999,0,Unknown,1.0,43,1000,27.0,0,기타
